column,type,rule,description,cardinality,name
episync_mmg_message_profile_identifier,id,null,"Message Profile Identifiers provide a literal value to use for the references in MSH-21. MSH-21 will always contain a reference to the notification type in the ""PHINProfileID"" namespace and a reference to the implemented version of the Generic MMG in the ""PHINMsgMapID"" namespace. For conditions that have a condition-specific MMG, MSH-21 will also contain a reference to that MMG that is also in the ""PHINMsgMapID"" namespace.",Y/2,Message Profile Identifier
episync_mmg_local_subject_id,id,null,The local ID of the subject/entity,N,Local Subject ID
episync_mmg_birth_date,date,null,Patient’s date of birth,N,Birth Date
episync_mmg_sex,sex,null,Subject’s current sex,N,Subject’s Sex
episync_mmg_race,race,"episync_mmg_race IN (PHINVADS_RACE)
",Race category - Major OMB Race Categories. Detailed race information would be rolled up to these major OMB race categories.,Y,Race Category
episync_mmg_other_race,race,null,Other Race Text,N,Other Race Text
episync_mmg_ethnic_group,ethnicity,null,Based on the self-identity of the subject as Hispanic or Latino,N,Ethnic Group
episync_mmg_birth_country,country,null,Country of Birth,N,Country of Birth
episync_mmg_other_birth_place,city,null,Other Birth Place,N,Other Birth Place
episync_mmg_country_of_residence,country,null,"Where does the person usually live (defined as their residence).

This variable replaces the Foreign Resident variable mentioned in 11-SI-04 titled ""Revised Guidelines for Determining Residency for Disease Reporting"" located at http://c.ymcdn.com/sites/www.cste.org/resource/resmgr/PS/11-SI-04.pdf.

Cases with country of usual residence equal to the US, Puerto Rico, and US Virgin Islands as well as unknown and null responses will be included in the state-specific counts and rates.",N,Country of Usual Residence
episync_mmg_subject_address_county,county,null,County of residence of the subject,N,Subject Address County
episync_mmg_subject_address_state,state,null,State of residence of the subject,N,Subject Address State
episync_mmg_subject_address_zip,zip,null,ZIP Code of residence of the subject,N,Subject Address ZIP Code
episync_mmg_date_of_illness_onset,date,null,Date of the beginning of the illness.  Reported date of the onset of symptoms of the condition being reported to the public health system.,N,Date of Illness Onset
episync_mmg_illness_end_date,date,null,Date at which the disease or condition ends.,N,Illness End Date
episync_mmg_illness_duration,duration,null,Length of time this subject had this disease or condition.,N,Illness Duration
